"","scope 1 emissions","scope 2 emissions","total emissions","emissions quality flag","s1 lower bound","s1 upper bound","s1 mean","tot lower bound","tot upper bound","tot mean","co2 emissions per capita","latitude","longitude","region","population","city area km","average annual temperature celcius","gdp-ppp per capita","ngdp","ngdp per capita","energy per person co2","center of commerce index","urbanization ratio","mean one-way travel time","average diesel price","average gasoline price","household size","congestion rank","economy rank","environment rank","governance rank","human capital rank","international impact rank","mobility and transportation rank","public management rank","social cohesion rank","technology rank","urban planning rank","CIMI","CIMI Ranking","exports","production","natgas exports","C4H waste per capita","C4H waste plus natgas per capita","corrected C4H waste plus natgas per capita"
"36",1716901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,-44,"Latin America & Caribbean",408448,342.85,NA,NA,0.0125597139208131,NA,NA,NA,NA,NA,1.02,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",528002.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.27,85.84,"South Asia",837456,422,NA,NA,1.64377381471304,NA,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,5199.7,"D",NA,NA,NA,NA,NA,NA,NA,52.483,-1.893611,"Europe",1101400,267.8,9.2,NA,NA,NA,NA,NA,79.007,61.2,1.99,1.92,2.6,119,48,75,9,30,153,70,133,31,143,98,67.1,62,1.055e+10,4.099e+10,0.26,0.0181362582,0.0260463068,0.0240104197
"39",124461.79,223021.63,347483.42,"A",80308.184048496,102550.096675766,91429.140362131,303329.814048496,325571.726675766,314450.770362131,NA,37.23,-80.417778,"North America",45038,51.5149011,10.8,NA,6.636,NA,NA,NA,NA,14.1,0.97,0.86,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"40",954020,1239622,2193642,"A",535599.738648807,633906.617658839,584753.178153823,1775221.73864881,1873528.61765884,1824375.17815382,NA,-6.597,106.7972,"Southeast Asia",1030720,118.5,32.1,NA,NA,NA,NA,NA,NA,NA,0.8,0.93,NA,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.178e+10,7.5e+10,0.42,0.0109098013,0.0167237797,0.0142602033
"41",10679585.14,1094791.71,12359324.53,"A",7302604.56422248,9187181.87262745,8244893.21842496,8982343.95422248,10866921.2626274,9924632.60842496,NA,4.711,-74.072222,"Latin America & Caribbean",8080734,1635.1,15,17497,85,9939.19550982226,NA,38.27,73.581,72,1.04,1.08,3.2,5,68,110,72,93,86,154,53,157,104,94,55.3,113,0,1,0,0.006765019,0.0153077511,0.0153077511
"42",NA,NA,2270524.7,"D",NA,NA,NA,NA,NA,NA,NA,44.507,11.351389,"Europe",388257,140.86,15,43978,NA,NA,NA,NA,67.588,NA,2.01,2.14,1.9,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8e+07,7.8e+09,0.01,0.0113831309,0.0151458624,0.0151130591
"43",NA,NA,758627,"D",NA,NA,NA,415668.051604462,460537.542082423,438102.796843443,NA,38.47,27.221111,"North Africa, Middle East, West Asia",416007,224.15,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1e+07,6.32e+08,0.05,0.0255910407,0.0296417873,0.0294430956
"44",3603270,2462912,6066182,"A",2958166.9932224,3283130.8190104,3120648.9061164,5421078.9932224,5746042.8190104,5583560.9061164,NA,42.358,-71.063611,"North America",673184,125.0447172,10,76204,296,64869.6033311418,NA,NA,NA,29.25,0.97,0.86,2.35,18,3,120,6,2,69,12,8,76,17,27,88.9,4,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"45",741287,980709,1721996,"A",636622.532290464,689346.152384644,662984.342337554,1617331.53229046,1670055.15238464,1643693.34233755,NA,40.027,-105.251945,"North America",108090,63.8691534,10.9,NA,22.354,NA,NA,NA,80.731,19.2,0.97,0.86,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"46",350775,431850,782650,"A",NA,NA,NA,NA,NA,NA,NA,50.72,-1.88,"Europe",197700,46.18,14,NA,NA,NA,NA,NA,79.007,NA,1.99,1.92,2.2,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.055e+10,4.099e+10,0.26,0.0181362582,0.0260463068,0.0240104197
